id;time_unity;frecuency_number;day_of_week;same_day;frecuency_ordinal_number;due_date;limit_date;schedule_status;transaction_id;notification_id
1;MONTHS;94013;Supervisor clear-thinking;false;Buckinghamshire Ports;2019-10-25;2019-10-25;CONFIRMED;1;1
2;YEARS;17882;world-class program alarm;false;Benin Berkshire;2019-10-25;2019-10-25;CONFIRMED;2;2
3;DAYS;43439;dot-com payment Libyan Dinar;true;Re-contextualized;2019-10-25;2019-10-25;SCHEDULED;3;3
4;WEEKS;46994;uniform PCI back up;true;hardware Venezuela Wisconsin;2019-10-25;2019-10-25;SCHEDULED;4;4
5;WEEKS;48527;mesh;false;calculating Intranet Ergonomic Concrete Soap;2019-10-25;2019-10-25;PENDING;5;5
6;MONTHS;70891;France protocol;false;Synergistic Personal Loan Account Sleek;2019-10-26;2019-10-25;CANCELED;6;6
7;YEARS;57886;interfaces;true;implementation;2019-10-25;2019-10-25;PENDING;7;7
8;MONTHS;53708;interface;true;composite Orchestrator Club;2019-10-25;2019-10-25;CANCELED;8;8
9;WEEKS;13274;Analyst card Licensed Cotton Ball;false;bypass Ameliorated;2019-10-25;2019-10-25;PENDING;9;9
10;YEARS;23978;Handmade Tuna;true;invoice;2019-10-25;2019-10-25;SCHEDULED;10;10
