id;amount;instant;description;observations;transaction_type;category_id;source_wallet_id
1;16122;2019-10-25T03:02:17;Auto Loan Account modular Refined;digital maroon;EXPENSE;1;1
2;35629;2019-10-25T16:32:14;Gorgeous Profit-focused synergies;cutting-edge ability Hat;INCOME;2;2
3;11986;2019-10-25T17:42:12;User-centric Gloves;Mauritania;INCOME;3;3
4;69630;2019-10-25T12:14:07;capability zero tolerance Computers;Analyst paradigms;EXPENSE;4;4
5;90826;2019-10-25T08:56:42;Canadian Dollar;Berkshire Designer;EXPENSE;5;5
6;8085;2019-10-25T05:53:26;Ergonomic transmitter;Point Orchestrator;INCOME;6;6
7;83530;2019-10-25T20:33:07;Bedfordshire;Refined Rubber Gloves Algerian Dinar Clothing;INCOME;7;7
8;9617;2019-10-25T19:59:04;Yen synthesize Creative;Forint;EXPENSE;8;8
9;25794;2019-10-25T18:41:03;Bacon Designer;Equatorial Guinea Vision-oriented;EXPENSE;9;9
10;55829;2019-10-25T02:33:34;deposit B2B cross-media;programming SCSI drive;INCOME;10;10
